EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	12:31:09	0	0.1000	8.140248520506752	4.68632698059082	0.5380	0.5252	0.5315
2	12:32:16	0	0.1000	3.5789675331777997	3.4355521202087402	0.7335	0.6790	0.7052
3	12:33:07	0	0.1000	2.8042653600374856	2.829629898071289	0.7678	0.7719	0.7698
4	12:33:59	0	0.1000	2.399526607659128	2.7784852981567383	0.8042	0.8064	0.8053
5	12:34:50	1	0.1000	2.153089029921426	2.821348190307617	0.8016	0.7931	0.7973
6	12:35:36	2	0.1000	1.9124026315079794	2.495086193084717	0.7953	0.8037	0.7995
7	12:36:22	3	0.1000	1.7320757806301117	2.703886032104492	0.7990	0.8117	0.8053
8	12:37:09	4	0.1000	1.5495182449618976	2.5834782123565674	0.7656	0.8143	0.7892
9	12:37:55	0	0.0500	1.3820907316274114	2.4469313621520996	0.8433	0.8568	0.8500
10	12:38:47	1	0.0500	1.3585141367382474	2.50266695022583	0.8157	0.8568	0.8357
11	12:39:33	2	0.0500	1.2273797856436834	2.5280511379241943	0.8289	0.8355	0.8322
12	12:40:19	3	0.0500	1.1337933134701517	2.5935707092285156	0.8231	0.8515	0.8370
13	12:41:05	4	0.0500	1.1690801605582237	2.547421455383301	0.8112	0.8435	0.8270
14	12:41:52	1	0.0250	1.0940555234750111	2.5281083583831787	0.8312	0.8488	0.8399
15	12:42:38	0	0.0250	1.0260825802882512	2.5045671463012695	0.8519	0.8541	0.8530
16	12:43:30	1	0.0250	1.025159067991707	2.5268917083740234	0.8402	0.8647	0.8523
17	12:44:16	0	0.0250	0.9870887216594484	2.5593209266662598	0.8372	0.8727	0.8545
18	12:45:08	1	0.0250	0.9914507497515943	2.5285630226135254	0.8385	0.8541	0.8463
19	12:45:54	2	0.0250	0.9682454574439261	2.5335521697998047	0.8399	0.8488	0.8443
20	12:46:41	3	0.0250	0.9105515703558922	2.511167049407959	0.8308	0.8594	0.8449
21	12:47:27	4	0.0250	0.8672442767355177	2.5595896244049072	0.8212	0.8647	0.8424
22	12:48:14	1	0.0125	0.907276316649384	2.5148863792419434	0.8316	0.8647	0.8479
23	12:49:00	2	0.0125	0.876684930589464	2.566535234451294	0.8186	0.8621	0.8398
24	12:49:46	3	0.0125	0.8260832279920578	2.6024060249328613	0.8216	0.8674	0.8439
25	12:50:33	4	0.0125	0.8093325653009944	2.581638813018799	0.8231	0.8515	0.8370
26	12:51:19	1	0.0063	0.7928383387625217	2.564332962036133	0.8312	0.8621	0.8464
27	12:52:05	2	0.0063	0.8399724066257477	2.5782737731933594	0.8286	0.8594	0.8438
28	12:52:52	3	0.0063	0.813078720950418	2.5915064811706543	0.8295	0.8647	0.8468
29	12:53:38	0	0.0063	0.766578303443061	2.5952205657958984	0.8393	0.8727	0.8557
30	12:54:30	1	0.0063	0.810043634639846	2.5918612480163574	0.8299	0.8541	0.8418
31	12:55:17	2	0.0063	0.7829871417747604	2.5921287536621094	0.8282	0.8568	0.8422
32	12:56:03	3	0.0063	0.7711472163597742	2.591407299041748	0.8303	0.8568	0.8433
33	12:56:50	4	0.0063	0.7698090846339861	2.5730066299438477	0.8359	0.8647	0.8501
34	12:57:37	1	0.0031	0.7611616771254275	2.59147047996521	0.8312	0.8621	0.8464
35	12:58:24	2	0.0031	0.7787674226694636	2.615351676940918	0.8338	0.8647	0.8490
36	12:59:11	3	0.0031	0.7883901182148192	2.606623649597168	0.8329	0.8594	0.8460
37	12:59:57	4	0.0031	0.7194354207151465	2.603592872619629	0.8303	0.8568	0.8433
38	13:00:44	1	0.0016	0.7549816717704138	2.6090636253356934	0.8278	0.8541	0.8407
39	13:01:31	2	0.0016	0.7479044501152303	2.616342067718506	0.8303	0.8568	0.8433
40	13:02:18	3	0.0016	0.7397353545659118	2.614659547805786	0.8308	0.8594	0.8449
41	13:03:05	4	0.0016	0.7259788045452701	2.62241792678833	0.8308	0.8594	0.8449
42	13:03:53	1	0.0008	0.7484773819645246	2.619250774383545	0.8303	0.8568	0.8433
43	13:04:40	2	0.0008	0.7137109119859006	2.6239490509033203	0.8303	0.8568	0.8433
44	13:05:26	3	0.0008	0.7258381338583099	2.6257240772247314	0.8303	0.8568	0.8433
45	13:06:14	4	0.0008	0.7307965213225948	2.6191158294677734	0.8325	0.8568	0.8444
46	13:07:00	1	0.0004	0.7646811480323473	2.6201508045196533	0.8325	0.8568	0.8444
47	13:07:47	2	0.0004	0.7292504438923465	2.6204774379730225	0.8329	0.8594	0.8460
48	13:08:34	3	0.0004	0.7420172674788369	2.619636058807373	0.8325	0.8568	0.8444
49	13:09:22	4	0.0004	0.7257637290490998	2.619854688644409	0.8329	0.8594	0.8460
50	13:10:08	1	0.0002	0.777542270720005	2.6209511756896973	0.8303	0.8568	0.8433
51	13:10:55	2	0.0002	0.7513266814251741	2.6193604469299316	0.8303	0.8568	0.8433
52	13:11:42	3	0.0002	0.764786158170965	2.619133710861206	0.8325	0.8568	0.8444
53	13:12:28	4	0.0002	0.7647571245001422	2.618513822555542	0.8303	0.8568	0.8433
